route,lead_time_bucket,flight_count,avg_price,median_price,min_price,max_price,std_price
ATL-BOS,0-3,5184,371.12132908950616,360.1,136.1,1487.61,134.56285965353416
ATL-BOS,4-7,6398,353.7420819005939,342.2,67.88,1324.1,122.82139225979418
ATL-BOS,8-14,10738,337.23355094058485,326.6,55.78,1717.6,120.42774799577461
ATL-BOS,15-30,18384,311.6011553524805,298.6,55.78,1324.1,108.69995243881277
ATL-BOS,31-60,27111,314.03177381874514,297.2,55.88,1124.6,113.76197846295844
ATL-CLT,0-3,4198,429.62463077656025,408.6,242.2,1881.6,72.269366179661
ATL-CLT,4-7,4875,405.60835487179486,398.1,240.7,1087.1,65.67714834469784
ATL-CLT,8-14,6946,368.58853440829256,358.6,198.6,977.1,74.4731989898846
ATL-CLT,15-30,8543,274.8111471380077,258.6,148.6,1921.6,105.36874459489361
ATL-CLT,31-60,12855,261.70622170361725,233.6,148.6,856.64,104.15988405947837
ATL-DEN,0-3,2770,389.75823826714804,367.2,133.98,1514.6,136.69361616179094
ATL-DEN,4-7,3828,414.8628657262278,398.6,123.98,1514.6,139.32806656543394
ATL-DEN,8-14,7150,434.6622405594406,445.6,113.98,1514.6,145.19160753058415
ATL-DEN,15-30,13314,463.945559561364,454.6,77.78,2001.61,150.88354331902485
ATL-DEN,31-60,18751,420.7992181750307,413.6,92.06,1314.6,137.10227601443378
ATL-DFW,0-3,2927,292.9354526819269,244.6,123.98,2039.6,131.46527108594256
ATL-DFW,4-7,3722,299.45105051047824,263.6,93.0,1094.6,119.71924356157312
ATL-DFW,8-14,6409,301.0766328600406,268.6,72.59,1651.6,131.33507466961495
ATL-DFW,15-30,11223,308.37415396952684,284.61,61.97,1661.6,127.96788245147478
ATL-DFW,31-60,17329,283.93326446996366,268.59,61.97,1671.6,114.98884820458375
ATL-DTW,0-3,4418,443.06307152557724,492.2,69.98,1603.1,189.08925897012702
ATL-DTW,4-7,5915,410.5095486052409,408.6,47.98,1064.61,178.33357590276444
ATL-DTW,8-14,10271,367.22024340375816,390.21,42.79,1451.61,161.20421099062264
ATL-DTW,15-30,12515,274.0914246903716,268.59,42.79,1461.61,126.16484991177296
ATL-DTW,31-60,19151,255.48916923398255,232.1,42.79,988.6,113.1924180880522
ATL-EWR,0-3,3034,254.6467732366513,228.6,68.6,1540.6,114.31083631692921
ATL-EWR,4-7,4156,224.91245668912416,198.6,62.59,1540.6,94.51864784590309
ATL-EWR,8-14,7132,215.27982473359506,198.6,40.59,1540.6,94.92603401251256
ATL-EWR,15-30,13151,245.0565242186906,227.6,40.59,1771.6,117.31082250471081
ATL-EWR,31-60,20538,250.87968497419416,231.1,40.59,1761.61,114.70759087699524
ATL-IAD,0-3,1649,296.35194663432384,210.1,191.6,1270.54,162.54906034363626
ATL-IAD,4-7,2170,299.4765898617511,228.6,183.6,1042.55,168.7579068401046
ATL-IAD,8-14,3862,312.95192905230454,236.1,151.6,1280.6,190.02185850540818
ATL-IAD,15-30,6127,275.73596866329365,228.6,113.6,1651.6,152.0895179245588
ATL-IAD,31-60,9221,249.35722372844594,228.6,113.6,703.14,88.63393594693571
ATL-JFK,0-3,2833,374.9147511471938,338.61,68.6,1916.6,168.6410881773115
