route,0-3,4-7,8-14,15-30,31-60,last_minute_price_increase_pct,early_vs_late_pct
ATL-BOS,360.1,342.2,326.6,298.6,297.2,10.257195345988968,-17.467370174951412
ATL-CLT,408.6,398.1,358.6,258.6,233.6,13.943112102621313,-42.82917278511993
ATL-DEN,367.2,398.6,445.6,454.6,413.6,-17.594254937163377,12.636165577342062
ATL-DFW,244.6,263.6,268.6,284.61,268.59,-8.935219657483252,9.807849550286175
ATL-DTW,492.2,408.6,390.21,268.59,232.1,26.13720816995977,-52.844372206420154
ATL-EWR,228.6,198.6,198.6,227.6,231.1,15.105740181268889,1.0936132983377034
ATL-IAD,210.1,228.6,236.1,228.6,228.6,-11.012282930961458,8.80533079485959
ATL-JFK,338.61,297.6,298.6,297.1,270.1,13.399196249162749,-20.232716104072523
ATL-LAX,479.58,488.19,482.59,477.21,453.6,-0.6237178557367495,-5.417240085074438
ATL-LGA,244.6,223.98,207.6,208.21,206.61,17.822736030828512,-15.531479967293539
ATL-MIA,316.59,298.6,268.6,274.6,244.6,17.866716306775853,-22.739189487981292
ATL-OAK,602.11,607.21,637.6,667.6,627.6,-5.566185696361359,4.233445715899098
ATL-ORD,250.6,271.58,278.6,278.6,278.6,-10.050251256281417,11.17318435754191
ATL-PHL,241.58,241.58,248.6,258.6,241.6,-2.823813354786797,0.008278831029051581
ATL-SFO,577.19,563.1,547.2,572.2,554.6,5.480628654970765,-3.913789220187469
BOS-ATL,371.6,349.21,318.6,296.6,297.2,16.63527934714375,-20.021528525296027
BOS-CLT,167.6,167.6,153.6,198.6,207.6,9.114583333333325,23.866348448687358
BOS-DEN,327.6,357.6,407.6,467.6,437.6,-19.627085377821395,33.57753357753357
BOS-DFW,301.6,301.6,300.1,317.6,296.6,0.4998333888703854,-1.6578249336870021
BOS-DTW,339.40999999999997,318.6,298.6,245.58,268.59,13.667113194909565,-20.86561975192245
BOS-EWR,163.6,122.58,108.6,98.6,148.6,50.64456721915285,-9.168704156479212
BOS-IAD,178.6,178.1,208.61,257.6,302.61,-14.385695795982944,69.43449048152297
BOS-JFK,153.6,148.6,153.6,158.6,148.6,0.0,-3.255208333333337
BOS-LAX,351.6,387.6,446.6,485.35,473.6,-21.2718316166592,34.698521046643904
BOS-LGA,148.6,118.6,108.6,108.6,108.6,36.83241252302025,-26.917900403768503
BOS-MIA,237.6,228.6,172.6,222.6,242.61,37.6593279258401,2.1085858585858652
BOS-OAK,601.61,593.71,641.71,686.1,707.19,-6.248928643779905,17.549575306261534
BOS-ORD,204.6,208.61,213.6,244.6,218.6,-4.2134831460674205,6.842619745845546
BOS-PHL,224.58,186.1,188.6,188.6,158.6,19.077412513255588,-29.379285777896524
BOS-SFO,360.11,413.6,511.61,584.6,531.35,-29.612400070366096,47.55213684707451
CLT-ATL,407.1,407.1,357.1,277.1,258.7,14.0016802016242,-36.452959960697626
CLT-BOS,177.1,177.1,186.1,210.11,207.11,-4.836109618484685,16.945228684359126
CLT-DEN,398.1,435.1,473.1,526.69,460.7,-15.852885225110969,15.724692288369745
CLT-DFW,292.08,332.08,332.1,332.11,307.1,-12.050587172538407,5.142426732402106
CLT-DTW,457.1,366.1,357.1,247.1,227.1,28.00336040324838,-50.317217239116175
CLT-EWR,316.1,297.1,276.1,212.1,206.1,14.487504527345173,-34.79911420436571
CLT-IAD,190.1,199.1,180.1,202.1,192.1,5.552470849528035,1.0520778537611797
CLT-JFK,217.1,217.1,227.1,210.11,201.11,-4.403346543372965,-7.365269461077839
CLT-LAX,369.1,458.1,480.71,535.69,507.1,-23.217740425620427,37.38824166892441
CLT-LGA,210.1,199.1,217.1,180.1,177.1,-3.224320589590046,-15.706806282722518
CLT-MIA,210.1,237.1,267.1,307.1,290.7,-21.340321976787724,38.36268443598287
CLT-OAK,621.6,695.61,735.61,765.61,780.61,-15.498701757724875,25.580759330759317
CLT-ORD,210.1,199.1,228.1,254.08,237.1,-7.891275756247262,12.851023322227517
CLT-PHL,288.1,288.1,250.7,302.11,277.1,14.918228958915059,-3.8181187087816704
CLT-SFO,487.1,573.1,607.1,652.1,617.1,-19.766101136550816,26.688564976390893
DEN-ATL,311.58,378.6,403.99,428.6,399.6,-22.87432857248942,28.249566724436747
DEN-BOS,331.1,399.1,444.6,477.61,444.59,-25.528565002249216,34.276653578979136
DEN-CLT,380.61,399.6,431.6,460.6,431.6,-11.814179796107505,13.396915477785655
DEN-DFW,202.6,200.6,202.6,217.61,216.6,0.0,6.910167818361312
DEN-DTW,336.61,388.6,424.1,445.59,420.2,-20.629568497995756,24.832892665102047
DEN-EWR,321.1,348.6,402.19,426.1,418.6,-20.16211243442153,30.364372469635615
DEN-IAD,305.61,366.1,429.6,481.6,453.1,-28.861731843575424,48.260855338503326
DEN-JFK,545.61,552.21,565.6,571.2,573.2,-3.5342998585572882,5.056725499899195
DEN-LAX,244.6,241.6,218.6,232.6,232.6,11.893870082342172,-4.905968928863446
DEN-LGA,273.6,301.6,348.6,372.6,353.405,-21.514629948364885,29.168494152046765
DEN-MIA,370.6,381.6,426.1,437.2,427.6,-13.025111476179296,15.380464112250403
DEN-OAK,460.1,477.2,472.71,477.2,438.59,-2.6675974699075455,-4.6750706368180905
DEN-ORD,289.6,348.6,364.2,408.6,387.61,-20.483250961010423,33.84323204419888
DEN-PHL,369.1,389.61,434.01,482.21,448.6,-14.95587659270523,21.538878352749926
DEN-SFO,253.6,241.6,283.6,318.59,288.6,-10.578279266572643,13.801261829653
DFW-ATL,252.61,260.595,263.995,279.6,268.6,-4.3125816776832915,6.329915680297704
DFW-BOS,311.6,331.6,347.61,347.61,301.6,-10.359310721785908,-3.209242618741981
DFW-CLT,333.6,348.61,333.6,333.6,295.58,0.0,-11.396882494004812
DFW-DEN,232.6,257.6,266.58,257.6,251.61,-12.746642658864127,8.172828890799666
DFW-DTW,498.6,429.6,349.59,342.105,304.6,42.62421693984384,-38.90894504612916
DFW-EWR,312.1,322.1,314.6,315.6,325.58,-0.7946598855689713,4.3191284844601
DFW-IAD,305.61,335.6,348.595,355.59,348.6,-12.330928441314427,14.066948071070984
DFW-JFK,327.6,347.4,352.62,335.6,323.2,-7.095456865747829,-1.3431013431013494
DFW-LAX,305.61,296.61,326.6,335.6,310.6,-6.426821800367422,1.6327999738228405
DFW-LGA,228.6,259.6,259.6,259.6,243.6,-11.941448382126364,6.5616797900262425
DFW-MIA,305.61,294.6,268.6,283.6,257.6,13.77885331347728,-15.709564477602168
DFW-OAK,557.11,552.7,552.7,552.7,536.1,0.7979012122308671,-3.771248047961806
DFW-ORD,318.6,347.61,338.61,342.6,299.6,-5.909453353415428,-5.963590709353417
DFW-PHL,305.61,330.61,368.6,403.6,378.6,-17.088985349972873,23.883380779424755
DFW-SFO,322.6,368.6,383.1,391.61,377.2,-15.792221352127378,16.92498450092994
DTW-ATL,500.2,419.2,404.6,253.6,220.1,23.628274839347483,-55.99760095961616
DTW-BOS,320.58,298.6,270.19,231.6,237.1,18.649839002183644,-26.04030195271071
DTW-CLT,458.6,367.6,358.6,243.69,223.6,27.886224205242605,-51.24291321412997
DTW-DEN,338.61,380.2,407.6,425.6,418.2,-16.92590775269872,23.504917161336046
DTW-DFW,498.6,417.2,338.6,337.61,313.6,47.25339633786179,-37.10389089450461
DTW-EWR,276.1,247.6,217.6,203.58,226.1,26.88419117647061,-18.10938065918146
DTW-IAD,181.6,179.6,181.6,206.1,206.1,0.0,13.491189427312777
DTW-JFK,407.6,357.6,388.6,332.2,328.6,4.889346371590331,-19.38174681059862
DTW-LAX,422.855,461.61,484.21,490.09,471.61,-12.671155077342465,11.529957077485186
DTW-LGA,239.6,200.6,181.6,172.6,181.1,31.93832599118942,-24.41569282136895
DTW-MIA,305.61,294.6,217.61,257.6,247.61,40.43931804604568,-18.978436569483982
DTW-OAK,607.61,607.11,607.61,690.11,652.71,0.0,7.4225243165846555
DTW-ORD,211.6,206.85500000000002,202.6,239.1,234.61,4.44225074037512,10.87429111531193
DTW-PHL,508.6,377.6,366.1,288.6,282.2,38.92379131384867,-44.51435312622887
DTW-SFO,598.61,569.6,539.35,601.61,552.7,10.987299527208672,-7.669434189204982
EWR-ATL,223.6,193.6,198.6,223.6,236.1,12.588116817724071,5.5903398926654635
EWR-BOS,163.6,135.58,118.6,118.6,158.6,37.94266441821248,-3.0562347188264005
EWR-CLT,349.61,298.6,258.6,207.6,204.61,35.193348801237434,-41.47478619032636
EWR-DEN,323.6,367.6,418.6,427.6,426.1,-22.694696607740084,31.67490729295426
EWR-DFW,254.6,298.6,285.1,298.6,318.6,-10.698000701508247,25.13747054202673
EWR-DTW,293.61,248.6,231.59,220.58,241.11,26.780085495919526,-17.880862368447936
EWR-IAD,369.1,338.6,331.6,336.7,351.09,11.308805790108556,-4.879436467082099
EWR-LAX,385.2,382.6,392.61,448.6,456.1,-1.8873691449530106,18.406022845275196
EWR-LGA,,,,,158.6,,
EWR-MIA,228.6,218.61,205.58,221.21,236.1,11.197587313941026,3.2808398950131323
EWR-OAK,589.61,579.6,581.6,611.59,623.19,1.3772352132049415,5.695290107019901
EWR-ORD,233.2,228.6,228.6,253.61,258.6,2.012248468941369,10.891938250428822
EWR-PHL,481.1,450.555,441.6,401.11,401.11,8.944746376811597,-16.626480981085013
EWR-SFO,408.6,438.6,481.6,527.21,492.6,-15.157807308970096,20.558002936857566
IAD-ATL,211.6,228.6,228.6,228.6,237.6,-7.43657042869641,12.287334593572785
IAD-BOS,307.6,371.1,371.1,371.1,368.1,-17.111290757208298,19.668400520156037
IAD-CLT,211.61,211.61,211.61,243.6,218.6,0.0,3.3032465384433607
IAD-DEN,367.6,454.6,488.6,498.6,484.6,-24.764633647155133,31.82807399347116
IAD-DFW,305.61,346.11,360.19,357.6,357.6,-15.153113634470694,17.01187788357712
IAD-DTW,248.6,218.6,218.6,218.6,218.6,13.723696248856365,-12.06757843925985
IAD-EWR,353.71,338.6,318.59,328.6,351.09,11.02357261684297,-0.7407197987051584
IAD-JFK,407.2,409.6,400.6,398.09,412.405,1.6475287069395828,1.278241650294687
IAD-LAX,407.6,467.6,528.59,567.6,534.19,-22.889195785012962,31.057409224730126
IAD-LGA,422.2,423.11,423.11,407.2,421.1,-0.21507409420719048,-0.2605400284225401
IAD-MIA,383.4,317.6,316.1,335.2,351.6,21.29073078139827,-8.294209702660392
IAD-OAK,666.1,711.04,746.405,772.2,756.1,-10.75890434817558,13.511484762047733
IAD-ORD,282.1,317.6,328.6,338.59,316.1,-14.150943396226412,12.052463665366897
