route,cheapest_lead_time_bucket,flight_count,avg_price,cheapest_median_price,min_price,max_price,std_price
ATL-BOS,31-60,27111,314.03177381874514,297.2,55.88,1124.6,113.76197846295844
ATL-CLT,31-60,12855,261.70622170361725,233.6,148.6,856.64,104.15988405947837
ATL-DEN,0-3,2770,389.75823826714804,367.2,133.98,1514.6,136.69361616179094
ATL-DFW,0-3,2927,292.9354526819269,244.6,123.98,2039.6,131.46527108594256
ATL-DTW,31-60,19151,255.48916923398255,232.1,42.79,988.6,113.1924180880522
ATL-EWR,4-7,4156,224.91245668912416,198.6,62.59,1540.6,94.51864784590309
ATL-IAD,0-3,1649,296.35194663432384,210.1,191.6,1270.54,162.54906034363626
ATL-JFK,31-60,18492,321.96007192299373,270.1,89.6,1199.59,150.23655239108987
ATL-LAX,31-60,40345,449.70291733796006,453.6,75.99,1018.6,128.3597885840916
ATL-LGA,31-60,29441,223.4195699874325,206.61,43.98,833.6,84.03968278437567
ATL-MIA,31-60,18663,292.83926485559664,244.6,30.69,1761.61,178.23740596340303
ATL-OAK,0-3,2576,622.9036840062113,602.11,283.58,1912.0,194.01688842568328
ATL-ORD,0-3,3644,308.55662184412733,250.6,110.59,1726.1,182.35853094006745
ATL-PHL,0-3,2836,277.1053455571227,241.58,42.98,1627.61,130.37831166404698
ATL-SFO,8-14,9094,569.9942016714317,547.2,217.99,1859.6,137.03926725784007
BOS-ATL,15-30,19193,297.31738446308555,296.6,66.97,1302.0,111.64002410933819
BOS-CLT,8-14,8521,195.27520830888395,153.6,78.6,1323.0,111.97634839389495
BOS-DEN,0-3,3449,345.40527979124386,327.6,193.2,2373.6,125.669104169157
BOS-DFW,31-60,23753,312.06655664547634,296.6,98.6,1010.61,102.74888341918725
BOS-DTW,15-30,15011,258.988315235494,245.58,78.59,991.59,97.46258957406073
BOS-EWR,15-30,9102,160.8840584486926,98.6,38.61,1028.61,128.0724017164845
BOS-IAD,4-7,2203,243.0227825692238,178.1,54.6,1071.6,150.5809503821884
BOS-JFK,4-7,4302,203.86336820083682,148.6,48.6,1535.6,139.60409987232217
BOS-LAX,0-3,6774,430.0307248302332,351.6,198.6,3619.6,258.29640920437816
BOS-LGA,8-14,8664,147.21785895660204,108.6,48.6,951.59,96.10941348462322
BOS-MIA,8-14,9799,197.77247780385753,172.6,30.69,968.6,96.59816751968327
BOS-OAK,4-7,3158,624.5053451551615,593.71,178.58,3214.1,198.3388179900484
BOS-ORD,0-3,4335,234.5518362168397,204.6,63.6,2361.61,206.3532561670155
BOS-PHL,31-60,13733,204.90540522828226,158.6,33.97,1571.6,127.44088687539536
BOS-SFO,0-3,4809,401.81991682262424,360.11,198.6,2534.6,150.97513724770974
CLT-ATL,31-60,13936,277.372588978186,258.7,147.1,818.1,103.53820454166745
CLT-BOS,0-3,3497,211.91193308550186,177.1,97.1,1664.1,112.48170852434193
CLT-DEN,0-3,2535,415.9747140039448,398.1,171.48,2033.1,196.8081810743474
CLT-DFW,0-3,4466,358.2882131661442,292.08,196.49,2209.1,162.3678646100833
CLT-DTW,31-60,15215,252.09329543213934,227.1,116.1,758.1,80.88633340654786
CLT-EWR,31-60,20383,231.27574302114505,206.1,78.28,832.1,89.57828542783378
CLT-IAD,8-14,3454,229.3067342211928,180.1,118.1,1283.11,113.36695395735512
CLT-JFK,31-60,16332,250.77820291452363,201.11,101.1,1760.11,127.38723918376385
CLT-LAX,0-3,6038,449.1317820470355,369.1,249.1,3218.7,202.5294601336678
CLT-LGA,31-60,29475,187.90930245971163,177.1,101.1,949.71,55.31190620779752
CLT-MIA,0-3,4009,311.77405337989524,210.1,85.08,2184.1,213.25487493464578
CLT-OAK,0-3,1132,673.984867491166,621.6,276.28,1475.6,248.6058414838161
CLT-ORD,4-7,4915,267.26561546286877,199.1,133.7,2069.1,139.63540973891068
CLT-PHL,8-14,7164,303.52669318816305,250.7,42.48,1348.1,143.3198062908347
CLT-SFO,0-3,3681,513.8936267318663,487.1,295.7,2955.7,185.86049695786548
DEN-ATL,0-3,2931,373.8737461617195,311.58,133.99,2530.6,143.30655841017042
DEN-BOS,0-3,3221,359.33561005898787,331.1,133.99,2373.6,136.37402870212912
DEN-CLT,0-3,2674,392.231234106208,380.61,173.98,2456.61,167.81588996732302
DEN-DFW,4-7,3159,245.6927540360874,200.6,98.99,2131.6,119.96811024579293
DEN-DTW,0-3,2372,376.075244519393,336.61,161.58,2360.61,144.4057504909181
DEN-EWR,0-3,2973,341.2835317860747,321.1,146.1,2227.6,129.58528827502153
DEN-IAD,0-3,2098,370.4583794089609,305.61,285.6,2199.6,158.42973425973685
DEN-JFK,0-3,3403,490.8900176315016,545.61,138.6,1554.6,189.43601150356676
DEN-LAX,8-14,9963,256.59136003211887,218.6,71.58,1693.6,125.12236519279296
DEN-LGA,0-3,3171,292.73867865026807,273.6,138.6,1644.6,106.87159674270572
DEN-MIA,0-3,2707,423.0456667898043,370.6,158.98,2705.61,135.11486107009986
DEN-OAK,31-60,12434,386.3138089110504,438.59,58.99,2713.6,166.08627505714946
DEN-ORD,0-3,2798,344.88833095067906,289.6,208.58,1987.6,133.78002914633092
DEN-PHL,0-3,3070,404.11279804560263,369.1,132.99,2097.6,119.74541490743516
DEN-SFO,4-7,4302,325.7305090655509,241.6,113.98,1326.6,148.07632603511894
DFW-ATL,0-3,2703,286.22984831668515,252.61,126.98,2039.6,122.64506908675364
DFW-BOS,31-60,20724,325.65178971241073,301.6,106.1,1007.6,104.7394410969472
DFW-CLT,31-60,23533,327.2747766965538,295.58,75.99,1208.55,128.3017540877235
DFW-DEN,0-3,2376,281.80213383838384,232.6,113.98,2131.6,138.89791092253617
DFW-DTW,31-60,17754,317.84143742255264,304.6,80.16,1091.6,106.98851208288959
DFW-EWR,0-3,3385,337.3931432791728,312.1,95.6,2470.59,185.57178370955955
DFW-IAD,0-3,2080,354.01172596153845,305.61,285.6,2408.6,127.44719307711001
DFW-JFK,31-60,14695,357.58190541000346,323.2,77.6,1011.6,151.87247989018854
DFW-LAX,4-7,8250,330.76697090909096,296.61,93.99,1368.6,87.68984280432109
DFW-LGA,0-3,4929,258.1032988435788,228.6,87.6,2505.6,107.99750323514183
DFW-MIA,31-60,26854,284.278752885976,257.6,55.0,763.6,101.94499810241473
DFW-OAK,31-60,19816,485.41101029471133,536.1,75.99,1874.6,206.71175326710895
DFW-ORD,31-60,21428,326.71553528094086,299.6,72.59,1187.56,118.93376715563417
DFW-PHL,0-3,3687,357.6692839707079,305.61,103.99,2271.6,147.95411439218256
DFW-SFO,0-3,2637,336.8785817216534,322.6,118.98,2203.6,120.08150745372062
DTW-ATL,31-60,18588,253.72432698515172,220.1,42.79,1059.33,130.41301972557855
DTW-BOS,15-30,13754,254.31821142940237,231.6,78.59,1955.0,106.57017207478339
DTW-CLT,31-60,16154,253.94659527052121,223.6,90.16,913.67,101.0451462244985
DTW-DEN,0-3,2284,377.39306917688265,338.61,139.58,2040.1,143.7574206252949
DTW-DFW,31-60,18269,339.55114018282336,313.6,90.16,1058.93,142.477098815422
DTW-EWR,15-30,10221,216.4872478231093,203.58,67.88,1248.59,91.90261091046678
DTW-IAD,4-7,1701,228.85841857730745,179.6,156.1,1122.55,109.43488350840258
DTW-JFK,31-60,15139,355.6958722504789,328.6,88.6,1271.6,154.25736783698858
DTW-LAX,0-3,5454,468.87396589658965,422.855,103.99,1992.6,145.76601472787004
DTW-LGA,15-30,13119,194.58807454836497,172.6,48.79,1541.61,91.24169397203933
DTW-MIA,8-14,6573,258.42417008976116,217.61,42.79,1318.6,108.5875741485371
DTW-OAK,4-7,2830,557.965780918728,607.11,143.98,1625.1,207.0075679625921
DTW-ORD,8-14,3569,259.406085738302,202.6,119.6,1573.6,151.97221916406548
DTW-PHL,31-60,13670,293.104174835406,282.2,55.0,1461.61,124.55224648311335
DTW-SFO,8-14,8682,608.4759905551716,539.35,213.99,7548.6,281.936294533689
EWR-ATL,4-7,3891,218.30665638653304,193.6,30.69,1447.6,94.91527035130379
EWR-BOS,8-14,4628,153.6841573033708,118.6,48.6,1239.6,111.34351946448122
EWR-CLT,31-60,21018,225.4977571605291,204.61,55.68,2023.61,87.72977019251084
EWR-DEN,0-3,2849,383.1576798876799,323.6,138.6,2326.09,180.20607300167978
EWR-DFW,0-3,3235,311.46317774343123,254.6,78.6,2452.6,209.80648829316797
EWR-DTW,15-30,10712,236.59623786407766,220.58,67.88,1471.6,106.85184706154428
EWR-IAD,8-14,6385,336.5347094753328,331.6,103.2,1284.6,115.81960225182789
EWR-LAX,4-7,6819,426.1365258835607,382.6,138.6,2261.6,168.70018091497312
EWR-LGA,31-60,23,151.42434782608697,158.6,44.6,308.6,66.12797893795765
EWR-MIA,8-14,5982,222.25128050819123,205.58,30.69,1957.6,129.19425419551825
EWR-OAK,4-7,1793,556.4989068600112,579.6,157.68,1550.7,138.59995421984055
EWR-ORD,4-7,5027,267.20412572110604,228.6,85.6,1982.6,153.26421519538502
EWR-PHL,15-30,11634,429.4074454186006,401.11,102.2,2163.59,232.43628795218478
EWR-SFO,0-3,4527,502.79721228186435,408.6,258.6,2300.1,219.00182053756296
IAD-ATL,0-3,1500,282.49300666666664,211.6,191.6,1681.11,136.95390219210165
IAD-BOS,0-3,1723,316.88221125943124,307.6,43.6,1239.6,165.63336000766978
IAD-CLT,0-3,1587,305.60659735349714,211.61,152.1,1638.6,207.53454698604338
IAD-DEN,0-3,1952,435.35444159836067,367.6,285.6,2190.6,190.9429343469744
IAD-DFW,0-3,2408,383.358799833887,305.61,285.6,2408.6,158.12389888344524
IAD-DTW,4-7,1391,260.63746225736884,218.6,159.6,1147.6,124.46716231858731
IAD-EWR,8-14,6889,335.1279677747133,318.59,103.2,1284.6,116.12885755395628
IAD-JFK,15-30,7872,389.35874237804876,398.09,98.6,1471.6,113.08712724673869
IAD-LAX,0-3,3588,453.1957859531773,407.6,330.6,2681.6,157.53467858018433
IAD-LGA,15-30,22196,395.82447693278067,407.2,98.6,2237.61,162.88359656335334
IAD-MIA,8-14,3636,329.33330308030804,316.1,98.6,1809.61,126.43638652034444
IAD-OAK,0-3,2072,713.6938996138996,666.1,351.6,2234.1,196.98371290349695
IAD-ORD,0-3,1926,352.2358515057113,282.1,142.19,1681.54,209.69864836871088
IAD-PHL,31-60,12507,383.50282401854963,366.3,129.1,1051.6,128.80426619652437
IAD-SFO,4-7,5167,567.6763924908071,537.6,279.6,2448.71,148.0553819746519
JFK-ATL,4-7,3849,343.5663652896856,296.1,89.6,1001.59,153.11931374536968
JFK-BOS,31-60,21303,192.76728301178238,143.6,43.6,1454.6,127.41170581089658
JFK-CLT,31-60,17318,252.42455133387227,201.6,102.6,857.6,117.21543427064636
JFK-DEN,0-3,2708,492.35731536189076,535.6,138.6,2239.61,184.3110799352998
JFK-DFW,0-3,3242,390.57887415175816,288.6,78.6,2601.6,250.56140609920146
JFK-DTW,15-30,7955,323.59299182903834,300.1,88.6,1371.61,153.68226085214886
JFK-IAD,15-30,7705,375.5922375081116,391.09,98.6,1261.61,114.52706128426738
JFK-LAX,0-3,6017,557.8919029416653,395.6,198.6,4752.6,438.99586502963433
JFK-MIA,8-14,6967,201.25428161331996,148.6,74.6,1083.21,138.72439285486666
JFK-OAK,0-3,966,603.488612836439,579.6,267.6,2229.6,198.53222230564464
JFK-ORD,0-3,4427,430.1341969731195,491.6,93.6,1694.1,177.7260536611951
JFK-PHL,31-60,9870,305.3811317122594,286.6,101.6,743.6,136.7395736822642
JFK-SFO,0-3,3412,522.1729073856975,384.35,258.6,4752.6,417.85148071970934
LAX-ATL,31-60,40184,502.11640105514635,498.6,75.99,1536.21,128.23408480029687
LAX-BOS,0-3,6886,565.8398794655824,489.58,210.58,3964.6,330.1640149380303
LAX-CLT,0-3,4934,548.5672253749493,498.6,165.98,2957.2,246.364672907428
LAX-DEN,0-3,4034,334.17729796727815,253.6,89.98,1723.6,207.57922371270774
LAX-DFW,31-60,34060,334.07788872577805,321.7,75.99,1622.61,148.23557832168035
LAX-DTW,31-60,37226,513.0058695535379,514.0,108.97,2007.61,141.22208571181537
LAX-EWR,31-60,37251,494.33587742610933,477.44,135.68,2594.6,130.6163740526335
LAX-IAD,0-3,3878,526.1262377514182,498.6,314.2,2858.1,206.30257179286207
LAX-JFK,31-60,40919,504.24222830469955,487.6,113.6,3313.61,192.4509476401027
LAX-LGA,0-3,6140,491.9376986970684,467.6,147.6,3225.61,154.33670807983148
LAX-MIA,31-60,31291,484.8072110191429,466.6,118.6,2148.11,164.9035167502197
LAX-OAK,31-60,13963,354.02264986034515,367.2,42.79,1201.61,175.04001951958327
LAX-ORD,0-3,5409,459.8357219449066,398.58,218.59,2539.6,185.85036780406958
LAX-PHL,0-3,4650,521.7710279569893,488.6,183.99,3026.6,166.31571556228712
LAX-SFO,0-3,3416,217.42459016393443,178.6,58.6,2023.6,146.56248268377652
LGA-ATL,15-30,16163,211.88491121697703,198.61,43.98,641.61,78.98792965451595
LGA-BOS,15-30,15825,139.53524612954186,118.6,43.6,1021.6,79.90185471096952
LGA-CLT,15-30,18303,192.2962913183631,181.6,87.06,711.6,52.201177038467584
LGA-DEN,0-3,2988,323.65699799196784,301.6,138.6,2239.1,153.73109924621934
LGA-DFW,4-7,6370,248.41545211930926,218.6,68.59,2505.6,115.22668654303102
LGA-DTW,15-30,11550,195.24808225108225,178.6,48.79,954.21,80.38815594483503
LGA-IAD,15-30,19622,383.1982310671695,391.09,98.6,2018.11,157.55187366076171
LGA-LAX,0-3,6539,395.7705413671816,384.58,138.6,3503.1,161.52221340702317
LGA-MIA,8-14,9042,201.21888520238883,181.6,30.69,667.6,101.43808456020734
LGA-OAK,0-3,2826,720.2958846426044,670.6,267.6,2736.1,229.26183839972293
LGA-ORD,8-14,11996,198.90122874291433,172.6,79.98,2091.6,85.05537667847047
LGA-PHL,31-60,28167,337.39341498917173,323.61,101.6,1137.2,138.0720300830159
LGA-SFO,0-3,4585,453.12436859323884,397.11,217.99,2527.61,169.1639946863815
MIA-ATL,8-14,6486,280.8369596053037,248.6,30.69,2049.6,165.72494368172343
MIA-BOS,8-14,9119,208.136201337866,198.6,30.69,1184.61,86.56844143769605
MIA-CLT,0-3,3758,325.9805215540181,252.2,86.58,2176.6,219.54549057878253
MIA-DEN,0-3,2541,406.5269421487604,370.6,129.98,1496.6,110.96323766263772
MIA-DFW,31-60,26894,274.82803933962964,244.6,55.0,1118.6,104.76415480799568
MIA-DTW,8-14,5972,260.6394290020094,217.61,42.79,1399.6,115.48961576514913
MIA-EWR,4-7,3001,289.2117627457514,180.6,43.59,3530.27,437.4370247963987
MIA-IAD,0-3,1268,355.20162460567826,316.1,98.6,2251.1,163.13678045546428
MIA-JFK,8-14,5996,221.7991777851901,139.6,74.6,3544.35,265.5334314155952
MIA-LAX,0-3,4142,407.26439401255436,361.58,138.6,3021.6,197.6776618660493
MIA-LGA,8-14,7700,189.78438181818183,139.6,42.79,937.61,113.40720181944845
MIA-OAK,0-3,1059,731.5412842304061,745.08,177.96,2234.1,322.98509351536944
MIA-ORD,0-3,4152,295.6214499036609,222.6,99.6,2579.6,255.53950712941418
MIA-PHL,4-7,4532,267.81017210944395,212.6,30.69,1308.6,142.08561854269362
MIA-SFO,0-3,3222,492.5267318435755,491.6,232.6,3620.59,194.9429647773983
OAK-ATL,31-60,17743,627.0399070055797,637.2,123.98,2057.11,227.44775224396278
OAK-BOS,0-3,1650,685.570503030303,666.1,221.96,2386.1,210.31685254994306
